[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.0
allRedTime,1.5
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,01/19/2021
ScenarioTime,6:17 pm

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,726,-3221,0,,,,,,
2,1,4045,-3213,0,,,,,,
3,0,933,-3222,0,,,,,,
4,1,934,-3043,0,,,,,,
5,1,932,-3413,0,,,,,,
6,0,1263,-3223,0,,,,,,
7,1,1268,-2958,0,,,,,,
8,1,1257,-3510,0,,,,,,
9,0,1588,-3231,0,,,,,,
10,1,1590,-2952,0,,,,,,
11,1,1579,-3506,0,,,,,,
12,0,1910,-3225,0,,,,,,
13,1,1906,-2892,0,,,,,,
14,1,1913,-3515,0,,,,,,
15,1,2154,-2703,0,,,,,,
16,0,2150,-3220,0,,,,,,
17,0,2817,-3236,0,,,,,,
Up ID,21,22,20,,,,
Lanes,21,0,0,,,,
Name,21,,,,,,
Distance,21,200,519,,,,
Speed,21,25,25,,,,
Time,21,5.5,14.2,,,,
Grade,21,0,0,,,,
Median,21,0,0,,,,
Offset,21,0,0,,,,
TWLTL,21,0,0,,,,
Crosswalk Width,21,16,16,,,,
Mandatory Distance,21,100,100,,,,
Mandatory Distance2,21,1101,1101,,,,
Positioning Distance,21,734,734,,,,
Positioning Distance2,21,1468,1468,,,,
Curve Pt X,21,,,,,,
Curve Pt Y,21,,,,,,
Curve Pt Z,21,,,,,,
Link Is Hidden,21,false,false,,,,
Street Name Is Hidden,21,false,false,,,,
Up ID,22,,21,,,,
Lanes,22,,0,,,,
Name,22,,,,,,
Distance,22,,200,,,,
Speed,22,,25,,,,
Time,22,,5.5,,,,
Grade,22,,0,,,,
Median,22,,0,,,,
Offset,22,,0,,,,
TWLTL,22,,0,,,,
Crosswalk Width,22,,16,,,,
Mandatory Distance,22,,200,,,,
Mandatory Distance2,22,,1101,,,,
Positioning Distance,22,,734,,,,
Positioning Distance2,22,,1468,,,,
Curve Pt X,22,,,,,,
Curve Pt Y,22,,,,,,
Curve Pt Z,22,,,,,,
Link Is Hidden,22,,false,,,,
